Run,BioProject,Sample
SRR1735176,PRJNA257197,SRS803955
SRR1735177,PRJNA257197,SRS803959
SRR1735178,PRJNA257197,SRS803958
SRR1735180,PRJNA257197,SRS803960
SRR1735171,PRJNA257197,SRS803951
SRR1735172,PRJNA257197,SRS803952
SRR1735173,PRJNA257197,SRS803953
SRR1735174,PRJNA257197,SRS803954
SRR1735175,PRJNA257197,SRS803956
SRR1735167,PRJNA257197,SRS803946
SRR1735166,PRJNA257197,SRS803947
SRR1735168,PRJNA257197,SRS803948
SRR1735169,PRJNA257197,SRS803949
SRR1735170,PRJNA257197,SRS803950
SRR1735164,PRJNA257197,SRS803944
SRR1735162,PRJNA257197,SRS803943
SRR1735165,PRJNA257197,SRS803945
SRR1735163,PRJNA257197,SRS803942
SRR1735161,PRJNA257197,SRS803940
SRR1735156,PRJNA257197,SRS803936
SRR1735157,PRJNA257197,SRS803937
SRR1735158,PRJNA257197,SRS803938
SRR1735159,PRJNA257197,SRS803939
SRR1735160,PRJNA257197,SRS803941
SRR1735154,PRJNA257197,SRS803934
SRR1735155,PRJNA257197,SRS803935
SRR1735152,PRJNA257197,SRS803932
SRR1735153,PRJNA257197,SRS803933
SRR1735151,PRJNA257197,SRS803931
SRR1735147,PRJNA257197,SRS803926
SRR1735146,PRJNA257197,SRS803927
SRR1735148,PRJNA257197,SRS803928
SRR1735149,PRJNA257197,SRS803929
SRR1735150,PRJNA257197,SRS803930
SRR1735141,PRJNA257197,SRS803921
SRR1735142,PRJNA257197,SRS803922
SRR1735143,PRJNA257197,SRS803923
SRR1735145,PRJNA257197,SRS803924
SRR1735144,PRJNA257197,SRS803925
SRR1735136,PRJNA257197,SRS803916
SRR1735137,PRJNA257197,SRS803917
SRR1735138,PRJNA257197,SRS803918
SRR1735139,PRJNA257197,SRS803919
SRR1735140,PRJNA257197,SRS803920
SRR1735132,PRJNA257197,SRS803912
SRR1735135,PRJNA257197,SRS803914
SRR1735133,PRJNA257197,SRS803913
SRR1735131,PRJNA257197,SRS803911
SRR1735134,PRJNA257197,SRS803915
SRR1735126,PRJNA257197,SRS803904
SRR1735127,PRJNA257197,SRS803907
SRR1735128,PRJNA257197,SRS803908
SRR1735129,PRJNA257197,SRS803909
SRR1735130,PRJNA257197,SRS803910
SRR1735121,PRJNA257197,SRS803902
SRR1735123,PRJNA257197,SRS803903
SRR1735125,PRJNA257197,SRS803906
SRR1735122,PRJNA257197,SRS803901
SRR1735124,PRJNA257197,SRS803905
SRR1735118,PRJNA257197,SRS803899
SRR1735120,PRJNA257197,SRS803900
SRR1735119,PRJNA257197,SRS803898
SRR1735117,PRJNA257197,SRS803897
SRR1735116,PRJNA257197,SRS803896
SRR1735114,PRJNA257197,SRS803894
SRR1735115,PRJNA257197,SRS803895
SRR1735111,PRJNA257197,SRS803891
SRR1735113,PRJNA257197,SRS803893
SRR1735112,PRJNA257197,SRS803892
SRR1735106,PRJNA257197,SRS803885
SRR1735110,PRJNA257197,SRS803888
SRR1735107,PRJNA257197,SRS803886
SRR1735108,PRJNA257197,SRS803890
SRR1735109,PRJNA257197,SRS803889
SRR1735102,PRJNA257197,SRS803881
SRR1735101,PRJNA257197,SRS803880
SRR1735103,PRJNA257197,SRS803882
SRR1735104,PRJNA257197,SRS803883
SRR1735105,PRJNA257197,SRS803884
SRR1735100,PRJNA257197,SRS803879
SRR1735099,PRJNA257197,SRS803887
SRR1735096,PRJNA257197,SRS803876
SRR1735098,PRJNA257197,SRS803878
SRR1735097,PRJNA257197,SRS803877
SRR1735093,PRJNA257197,SRS803873
SRR1735094,PRJNA257197,SRS803875
SRR1735092,PRJNA257197,SRS803872
SRR1735091,PRJNA257197,SRS803870
SRR1735095,PRJNA257197,SRS803874
SRR1735090,PRJNA257197,SRS803871
SRR1735087,PRJNA257197,SRS803867
SRR1735088,PRJNA257197,SRS803868
SRR1735086,PRJNA257197,SRS803866
SRR1735089,PRJNA257197,SRS803869
SRR1735081,PRJNA257197,SRS803861
SRR1735085,PRJNA257197,SRS803864
SRR1735083,PRJNA257197,SRS803863
SRR1735082,PRJNA257197,SRS803860
SRR1735084,PRJNA257197,SRS803865
SRR1735077,PRJNA257197,SRS803859
SRR1735078,PRJNA257197,SRS803857
SRR1735080,PRJNA257197,SRS803862
SRR1735076,PRJNA257197,SRS803855
SRR1735079,PRJNA257197,SRS803858
SRR1735074,PRJNA257197,SRS803854
SRR1735073,PRJNA257197,SRS803852
SRR1735071,PRJNA257197,SRS803851
SRR1735072,PRJNA257197,SRS803853
SRR1735075,PRJNA257197,SRS803856
SRR1735069,PRJNA257197,SRS803850
SRR1735070,PRJNA257197,SRS803849
SRR1735067,PRJNA257197,SRS803847
SRR1735066,PRJNA257197,SRS803846
SRR1735068,PRJNA257197,SRS803848
SRR1735061,PRJNA257197,SRS803839
SRR1735062,PRJNA257197,SRS803842
SRR1735064,PRJNA257197,SRS803843
SRR1735063,PRJNA257197,SRS803844
SRR1735065,PRJNA257197,SRS803845
SRR1735058,PRJNA257197,SRS803838
SRR1735059,PRJNA257197,SRS803840
SRR1735057,PRJNA257197,SRS803837
SRR1735056,PRJNA257197,SRS803836
SRR1735060,PRJNA257197,SRS803841
SRR1735051,PRJNA257197,SRS803830
SRR1735052,PRJNA257197,SRS803832
SRR1735053,PRJNA257197,SRS803833
SRR1735054,PRJNA257197,SRS803834
SRR1735055,PRJNA257197,SRS803835
SRR1735046,PRJNA257197,SRS803826
SRR1735050,PRJNA257197,SRS803831
SRR1735049,PRJNA257197,SRS803829
SRR1735047,PRJNA257197,SRS803827
SRR1735048,PRJNA257197,SRS803828
SRR1735044,PRJNA257197,SRS803824
SRR1735041,PRJNA257197,SRS803822
SRR1735042,PRJNA257197,SRS803821
SRR1735043,PRJNA257197,SRS803823
SRR1735045,PRJNA257197,SRS803825
SRR1735036,PRJNA257197,SRS803816
SRR1735037,PRJNA257197,SRS803817
SRR1735039,PRJNA257197,SRS803818
SRR1735038,PRJNA257197,SRS803819
SRR1735040,PRJNA257197,SRS803820
SRR1735031,PRJNA257197,SRS803811
SRR1735032,PRJNA257197,SRS803812
SRR1735033,PRJNA257197,SRS803813
SRR1735034,PRJNA257197,SRS803814
SRR1735035,PRJNA257197,SRS803815
SRR1735026,PRJNA257197,SRS803806
SRR1735027,PRJNA257197,SRS803807
SRR1735029,PRJNA257197,SRS803808
SRR1735028,PRJNA257197,SRS803809
SRR1735030,PRJNA257197,SRS803810
SRR1735021,PRJNA257197,SRS803801
SRR1735022,PRJNA257197,SRS803802
SRR1735023,PRJNA257197,SRS803803
SRR1735024,PRJNA257197,SRS803804
SRR1735025,PRJNA257197,SRS803805
SRR1735017,PRJNA257197,SRS803797
SRR1735020,PRJNA257197,SRS803800
SRR1735018,PRJNA257197,SRS803798
SRR1735019,PRJNA257197,SRS803799
SRR1735016,PRJNA257197,SRS803796
SRR1735011,PRJNA257197,SRS803791
SRR1735012,PRJNA257197,SRS803792
SRR1735013,PRJNA257197,SRS803793
SRR1735014,PRJNA257197,SRS803794
SRR1735015,PRJNA257197,SRS803795
SRR1735010,PRJNA257197,SRS803790
SRR1735007,PRJNA257197,SRS803787
SRR1735008,PRJNA257197,SRS803788
SRR1735006,PRJNA257197,SRS803786
SRR1735009,PRJNA257197,SRS803789
SRR1735004,PRJNA257197,SRS803784
SRR1735003,PRJNA257197,SRS803783
SRR1735001,PRJNA257197,SRS803781
SRR1735002,PRJNA257197,SRS803782
SRR1735005,PRJNA257197,SRS803785
SRR1734996,PRJNA257197,SRS803776
SRR1734997,PRJNA257197,SRS803777
SRR1734998,PRJNA257197,SRS803778
SRR1734999,PRJNA257197,SRS803779
SRR1735000,PRJNA257197,SRS803780
SRR1734991,PRJNA257197,SRS803771
SRR1734992,PRJNA257197,SRS803772
SRR1734993,PRJNA257197,SRS803773
SRR1734994,PRJNA257197,SRS803774
SRR1734995,PRJNA257197,SRS803775
SRR1613383,PRJNA257197,SRS722186
SRR1613384,PRJNA257197,SRS722187
SRR1734990,PRJNA257197,SRS803770
SRR1734989,PRJNA257197,SRS803769
SRR1734988,PRJNA257197,SRS803768
SRR1613381,PRJNA257197,SRS722184
